price,bed,bath,acre_lot,city,zip_code,house_size,sold_date,county,cluster
289900,4,1,0.24,Ludlow,1056,1173,14/07/2017,Hampden,pink
249900,3,2,0.55,Springfield,1151,1365,20/10/1979,Hampden,pink
198000,3,1,0.23,Springfield,1129,876,01/08/2019,Hampden,pink
364999,3,3,0.17,Springfield,1118,1576,25/08/2000,Hampden,pink
599000,3,3,3.11,Wilbraham,1095,2275,18/06/2021,Hampden,pink
465000,3,3,2.04,Monson,1057,2775,02/12/2019,Hampden,pink
350000,6,3,0.36,Springfield,1151,3048,30/12/1993,Hampden,dark purple
199900,2,1,0.14,Springfield,1118,1024,14/06/2004,Hampden,pink
244900,3,2,0.16,Springfield,1108,1181,15/06/2021,Hampden,pink
429900,4,4,0.44,Springfield,1128,2032,19/03/2010,Hampden,dark purple
219900,3,2,0.11,Springfield,1109,1056,29/07/1998,Hampden,pink
270000,3,1,0.23,Springfield,1118,1234,24/02/2017,Hampden,pink
239999,4,2,0.13,Springfield,1108,1690,20/05/1986,Hampden,pink
