,price,bed,bath,acre_lot,city,zip_code,house_size,sold_date
110352,899900.0,3.0,3.0,0.03,Boston,2128.0,1760.0,2003-07-31
110389,849900.0,4.0,3.0,0.12,Boston,2128.0,2950.0,2002-12-02
110395,1725000.0,2.0,2.0,0.03,Boston,2108.0,1437.0,2012-07-17
110398,1095000.0,2.0,2.0,0.02,Boston,2111.0,812.0,2009-09-16
110435,749900.0,3.0,2.0,0.19,Milton,2186.0,1722.0,2005-03-31
110438,1599000.0,5.0,5.0,1.05,Milton,2186.0,4711.0,2004-04-20
110441,775000.0,4.0,2.0,0.15,Boston,2121.0,2633.0,1999-08-13
110447,599000.0,1.0,1.0,0.01,Boston,2127.0,574.0,2020-07-10
110454,985000.0,9.0,3.0,0.1,Boston,2126.0,3648.0,2005-10-26
110485,749000.0,1.0,1.0,0.02,Boston,2110.0,732.0,2009-09-02
110487,479000.0,1.0,1.0,0.01,Boston,2127.0,451.0,2013-02-26
110493,2950000.0,2.0,3.0,0.05,Boston,2210.0,2178.0,2012-07-31
110514,599000.0,3.0,2.0,0.09,Revere,2151.0,2039.0,2006-04-12
110519,699000.0,2.0,2.0,0.01,Boston,2127.0,1260.0,1995-09-29
110538,639000.0,2.0,1.0,0.02,Boston,2127.0,914.0,2009-12-11
110553,489900.0,6.0,2.0,0.09,Boston,2124.0,2062.0,2005-04-15
110555,578000.0,3.0,2.0,0.03,Boston,2125.0,1506.0,2020-02-14
110558,449900.0,2.0,1.0,0.02,Boston,2124.0,1036.0,2011-07-01
110575,1125000.0,3.0,2.0,0.23,Milton,2186.0,2090.0,1984-05-07
110581,1649000.0,4.0,3.0,0.06,Boston,2127.0,2043.0,1987-02-27
110584,1099000.0,1.0,2.0,0.02,Boston,2109.0,923.0,2013-12-10
110586,1949000.0,3.0,2.0,0.03,Boston,2114.0,1500.0,2009-03-20
110623,925000.0,2.0,2.0,0.03,Boston,2127.0,1100.0,2019-05-03
110627,599000.0,1.0,1.0,0.01,Boston,2127.0,550.0,2020-04-09
110639,499000.0,3.0,2.0,0.25,Dedham,2026.0,1192.0,2011-11-09
110642,400000.0,2.0,1.0,0.02,Boston,2119.0,744.0,2003-02-03
110664,1100000.0,2.0,2.0,0.03,Boston,2118.0,1173.0,2010-05-14
110684,825000.0,5.0,3.0,0.26,Malden,2148.0,2180.0,1991-12-09
110685,499000.0,2.0,1.0,0.01,Boston,2127.0,639.0,2010-11-24
110687,699000.0,1.0,1.0,0.01,Boston,2108.0,600.0,2004-07-15
110732,880000.0,6.0,3.0,0.08,Revere,2151.0,4337.0,1996-12-02
110734,1299000.0,5.0,4.0,0.17,Boston,2124.0,3472.0,1993-09-10
110738,819000.0,5.0,3.0,0.15,Revere,2151.0,2160.0,2006-03-27
110739,874900.0,5.0,3.0,0.13,Malden,2148.0,3300.0,1994-03-22
110741,1499000.0,5.0,4.0,0.35,Milton,2186.0,3137.0,1990-01-10
110748,529000.0,2.0,1.0,0.02,Boston,2135.0,852.0,2005-04-22
110783,1150000.0,6.0,2.0,0.1,Boston,2125.0,2638.0,2005-07-29
110851,525000.0,2.0,2.0,0.05,Boston,2126.0,1010.0,2007-03-30
110890,545000.0,3.0,3.0,0.04,Boston,2125.0,1644.0,2009-04-30
110891,509900.0,2.0,2.0,0.29,Dedham,2026.0,1000.0,2016-09-30
110906,649900.0,2.0,1.0,0.02,Boston,2125.0,826.0,2006-05-01
110918,780000.0,1.0,1.0,0.01,Boston,2111.0,585.0,2018-06-05
110921,619900.0,2.0,1.0,0.02,Boston,2127.0,800.0,2007-09-18
110963,875000.0,2.0,2.0,0.03,Boston,2127.0,1193.0,2019-01-31
110982,749000.0,5.0,3.0,0.12,Boston,2136.0,2681.0,1999-02-12
111010,1099000.0,2.0,1.0,0.03,Boston,2109.0,1183.0,2018-06-08
111023,729000.0,3.0,2.0,0.09,Boston,2136.0,1612.0,1993-10-28
111031,600000.0,3.0,1.0,0.02,Boston,2127.0,964.0,2000-06-02
111032,1775000.0,7.0,6.0,0.46,Milton,2186.0,7071.0,1998-10-28
111066,1199000.0,5.0,3.0,0.41,Dedham,2026.0,3602.0,1992-09-17
111074,1150000.0,3.0,3.0,0.92,Westwood,2090.0,2100.0,2004-09-15
111090,1199000.0,5.0,2.0,0.14,Milton,2186.0,2632.0,2005-07-11
111091,799000.0,2.0,3.0,0.03,Boston,2127.0,1429.0,2009-09-04
111094,1595000.0,2.0,2.0,0.03,Boston,2118.0,1496.0,2018-06-27
111107,829000.0,3.0,3.0,0.36,Milton,2186.0,2464.0,2000-03-31
111131,685000.0,2.0,1.0,0.02,Boston,2127.0,855.0,2009-09-25
111141,489000.0,2.0,2.0,0.16,Saugus,1906.0,1207.0,1995-04-28
111197,1388000.0,4.0,3.0,0.45,Lynnfield,1940.0,3794.0,2007-06-28
111218,1490000.0,2.0,2.0,0.02,Boston,2118.0,1052.0,2018-05-21
111231,459000.0,2.0,1.0,0.12,Saugus,1906.0,1289.0,2004-07-21
111237,725000.0,3.0,2.0,0.25,Dedham,2026.0,1906.0,1987-10-30
111247,799900.0,5.0,2.0,0.36,Peabody,1960.0,2288.0,1985-06-07
111257,1399000.0,7.0,4.0,0.04,Boston,2128.0,2870.0,2012-04-27
111306,1600000.0,2.0,2.0,0.03,Boston,2116.0,1358.0,2014-04-24
111307,2599000.0,2.0,3.0,0.04,Boston,2210.0,1840.0,2019-05-01
111318,589900.0,2.0,1.0,0.14,Malden,2148.0,2013.0,1992-08-06
111320,689000.0,3.0,2.0,0.22,Waltham,2452.0,2223.0,1984-03-01
111333,995000.0,2.0,1.0,0.03,Boston,2116.0,1273.0,2004-09-20
111335,1095000.0,5.0,3.0,0.15,Waltham,2453.0,2524.0,1998-10-15
